"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node0_dstat_startserver.csv",,,,"Date:","03 May 2019 23:06:45 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.074,0.030,99.880,0.016,0,5251.797,116376.136,0,0,0,0,643.617,407.483
0,0,100,0,0,0,0,18960,0,0,0,353,37
0,0.062,99.938,0,0,0,0,19687,247,0,0,493,74
1.220,0.344,98.437,0,0,0,0,29985,9001,0,0,2212,1336
0,0.031,99.750,0.219,0,0,753664,103798,8746,0,0,981,620
0,0.063,99.937,0,0,0,843776,102012,6156,0,0,771,603
0,0,100,0,0,0,0,15540,0,0,0,320,62
0,0,100,0,0,0,0,16500,0,0,0,314,59
0,0,100,0,0,0,0,16560,0,0,0,324,31
0,0,100,0,0,0,0,16800,0,0,0,302,29
0,0,99.875,0.125,0,0,184320,16680,0,0,0,366,83
0,0,100,0,0,0,0,18240,0,0,0,349,63
0,0,100,0,0,0,0,18420,66,0,0,355,27
0.813,0.375,98.812,0,0,0,0,33681,11343,0,0,1652,900
9.395,11.361,79.245,0,0,0,0,19936,2838,0,0,5707,1104993
4.355,1.096,94.549,0,0,0,614400,17646,6270,0,0,1313,49321
3.125,0.031,96.812,0.031,0,0,159744,17526,422,0,0,609,55
2.938,0.188,96.874,0,0,0,0,18480,0,0,0,588,49
2.342,2.498,95.159,0,0,0,0,20352,3797,0,0,891,855
9.333,2.819,87.848,0,0,0,0,17226,398,0,0,2048,8770
3.156,0.094,96.750,0,0,0,1769472,19260,0,0,0,1057,1410
37.453,6.569,55.978,0,0,0,0,830823,614341904,0,0,23250,92128
20.907,7.557,71.474,0.063,0,0,45056,767006325,178138257,0,0,261847,23327
9.521,7.704,82.744,0.031,0,4096,0,17475,2416,0,0,351331,1462
43.005,7.011,49.984,0,0,0,0,164986040,791441537,0,0,142703,88375
19.524,9.025,71.451,0,0,0,0,603389133,627430,0,0,161404,17211
42.997,6.736,50.142,0.126,0,0,55750656,1135159,791351748,0,0,35677,96821
19.246,10.738,70.016,0,0,0,0,766698480,1168301,0,0,82429,29275
41.549,5.770,51.019,1.662,0,0,159383552,944125,727931699,0,0,63185,79853
20.566,6.516,72.473,0.445,0,0,31526912,766802054,64580881,0,0,29431,34066
39.358,5.827,54.815,0,0,0,0,769081,579252510,0,0,48898,65862
24.040,5.947,70.013,0,0,0,0,757688823,213209720,0,0,152527,30637
30.257,6.602,63.141,0,0,0,0,9814647,340048514,0,0,95932,69432
33.218,6.543,60.239,0,0,0,0,615084468,452192800,0,0,47859,28712
19.868,6.171,73.898,0.063,0,0,720896,152668581,155716749,0,0,28761,8008
41.912,7.028,51.060,0,0,0,0,406539804,636495261,0,0,267942,93083
19.681,5.967,74.352,0,0,0,0,361329361,64866386,0,0,26435,17159
45.196,8.701,46.103,0,0,0,0,439817549,727613307,0,0,261458,79216
16.734,6.600,76.666,0,0,0,0,328452406,14865710,0,0,12156,12087
47.716,8.573,43.711,0,0,0,0,287706630,777282260,0,0,207017,102580
16.204,6.999,76.734,0.063,0,0,1081344,480212721,690806,0,0,33919,21600
46.667,11.195,42.107,0.031,0,0,0,92809251,791443178,0,0,266672,85956
18.190,6.440,75.369,0,0,0,0,675025859,1081620,0,0,49886,29401
4.346,0.813,94.809,0.031,0,8192,0,18190,1256,0,0,1105,531
10.157,2.665,87.179,0,0,0,0,18251,2184,0,0,86600,3306
21.912,6.771,71.317,0,0,0,0,17460,0,0,0,99510,39868
21.841,6.032,70.222,1.905,0,0,154517504,18660,0,0,0,35851,37004
12.288,3.080,83.218,1.414,0,0,92094464,19944,3474,0,0,7660,17555
1.189,0.407,98.404,0,0,0,0,26163,5492,0,0,1541,930
