"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node2_dstat_startserver.csv",,,,"Date:","03 May 2019 23:06:46 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.028,0.020,99.922,0.030,0,5250.983,62706.009,0,0,0,0,365.142,64.217
0,0,100,0,0,0,0,18540,0,0,0,352,37
0,0,100,0,0,0,0,17940,0,0,0,333,36
0,0,99.688,0.312,0,0,1286144,17100,42,0,0,518,59
0,0.062,99.938,0,0,0,0,15720,0,0,0,308,57
0,0,100,0,0,0,0,15540,0,0,0,282,27
0,0,100,0,0,0,0,18119,1393,0,0,376,46
2.317,0.751,96.932,0,0,0,0,28097,8421,0,0,2049,1223
0.063,0,99.750,0.188,0,0,118784,97952,7982,0,0,785,666
0.125,0,99.875,0,0,0,0,109592,6420,0,0,618,604
0,0,100,0,0,0,0,17346,132,0,0,333,40
0,0,100,0,0,0,0,17940,0,0,0,321,29
3.131,4.696,92.173,0,0,0,0,23485,4705,0,0,2064,122322
6.375,4.125,89.500,0,0,0,0,17550,1614,0,0,2314,59756
0,0,99.750,0.250,0,0,221184,17340,0,0,0,352,42
0,0,100,0,0,0,0,17760,0,0,0,321,32
0,0,100,0,0,0,0,17820,0,0,0,344,61
0,0,100,0,0,0,0,19099,942,0,0,350,76
0,0,100,0,0,0,0,17460,0,0,0,325,41
0,0,100,0,0,0,0,107340,522,0,0,342,56
11.780,4.802,83.291,0.128,0,0,12288,263802171,411850,0,0,6386,13985
14.250,4.667,81.083,0,0,0,0,217916,255579839,0,0,6204,3474
0.063,0.500,99.437,0,0,0,0,51123726,59061,0,0,1309,1936
25.485,8.954,65.560,0,0,0,0,212861513,90495024,0,0,15299,20470
0,0.501,99.499,0,0,0,0,23489995,165756997,0,0,2801,1305
26.210,8.925,64.865,0,0,0,0,240590243,58675266,0,0,8339,14132
0.063,0.438,99.374,0.125,0,0,12288,323658,197225255,0,0,3727,329
17.099,8.993,73.908,0,0,0,0,263821854,28100144,0,0,50935,12308
11.340,1.495,87.165,0,0,0,0,406760,227984885,0,0,6187,2538
10.273,3.678,86.049,0,0,0,0,263798562,364065,0,0,80026,14409
17.765,8.663,73.572,0,0,0,0,430392,255568555,0,0,226316,4188
0.446,0.446,99.108,0,0,0,0,239177384,313437,0,0,5524,9532
27.290,9.598,63.049,0.063,0,0,12288,25029429,255750339,0,0,238517,9336
0.189,0.757,99.054,0,0,0,0,169250517,362973,0,0,6483,9167
26.904,8.801,64.295,0,0,0,73728,94995253,255761295,0,0,79579,27810
0.378,0.819,98.803,0,0,0,0,136853501,284388,0,0,6760,6435
26.290,9.571,64.139,0,0,0,0,127314075,255892186,0,0,24761,11328
0.563,0.625,98.812,0,0,0,0,130853601,256000,0,0,4791,6336
26.491,7.847,65.537,0.126,0,0,12288,133306382,161413345,0,0,13833,10266
0.312,1.124,98.564,0,0,0,651264,91153672,94462199,0,0,3221,3709
27.054,9.697,63.249,0,0,0,0,172960676,106089545,0,0,18067,70983
0,1.126,98.874,0,0,0,0,172744,149738252,0,0,2510,145
0,0,100,0,0,0,0,16500,0,0,0,320,61
0,0,100,0,0,0,0,17192,455,0,0,318,75
0,0,99.937,0.063,0,0,12288,17340,0,0,0,349,95
0,0,100,0,0,0,0,18660,0,0,0,344,49
0.062,0,99.938,0,0,0,0,20416,306,0,0,379,64
1.124,0.812,98.064,0,0,0,0,25905,6015,0,0,1446,821
0,0,100,0,0,0,0,19440,0,0,0,381,97
