"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node1_dstat_startserver.csv",,,,"Date:","03 May 2019 23:06:46 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.037,0.021,99.927,0.016,0,5254.340,62609.920,0,0,0,0,548.742,112.394
0,0,100,0,0,0,0,19320,0,0,0,396,38
0,0.031,99.969,0,0,0,0,18600,0,0,0,326,30
0,0,100,0,0,0,0,18120,0,0,0,358,31
0,0.031,99.594,0.375,0,0,1306624,16807,182,0,0,531,121
1.094,0.406,98.500,0,0,0,0,28389,9108,0,0,2294,1241
0.125,0.094,99.781,0,0,0,0,96026,8482,0,0,886,631
0,0.031,99.969,0,0,0,0,108248,6420,0,0,648,603
0,0.031,99.969,0,0,0,0,16260,0,0,0,316,91
0,0,99.812,0.188,0,0,966656,17460,0,0,0,515,51
0,0.031,99.969,0,0,0,0,17580,0,0,0,306,27
0,0,100,0,0,0,0,17220,0,0,0,345,33
0,0,100,0,0,0,0,17594,74,0,0,341,93
4.659,8.068,87.273,0,0,0,0,24449,4763,0,0,5163,86046
1.596,0.501,97.903,0,0,0,0,17850,1614,0,0,851,26096
0,0,99.969,0.031,0,0,36864,17400,0,0,0,354,54
0.031,0.031,99.938,0,0,0,0,17040,0,0,0,338,102
0,0,100,0,0,0,0,19159,942,0,0,381,73
0,0.031,99.969,0,0,0,0,17640,0,0,0,312,35
0,0,100,0,0,0,0,18180,0,0,0,331,37
0.219,0.188,99.593,0,0,0,0,62058572,79910,0,0,1919,2904
18.750,6.438,74.749,0.063,0,0,12288,202105344,240593300,0,0,10743,20038
0,0.062,99.938,0,0,0,0,41661,15375467,0,0,702,112
0.252,0.283,99.465,0,0,0,0,215216234,222385,0,0,3677,7207
19.242,4.669,76.089,0,0,0,0,48787242,255676322,0,0,6709,10832
0.125,1.183,98.692,0,0,0,0,155844161,202395,0,0,3495,6246
18.882,5.027,76.092,0,0,0,0,108335759,255730268,0,0,9635,14330
0.219,0.219,99.531,0.031,0,0,12288,68598841,97069,0,0,1804,3197
18.985,5.576,75.439,0,0,0,0,195512600,220579835,0,0,10299,15187
0,0.063,99.937,0,0,0,0,45902098,35467299,0,0,1924,2026
20.428,7.327,72.245,0,0,0,0,218124124,119513329,0,0,149793,16960
0,0.188,99.812,0,0,0,0,211481,136350383,0,0,2741,253
15.235,11.034,73.730,0,0,0,0,263860491,113214318,0,0,364041,19536
4.185,0.500,95.284,0.031,0,0,12288,265088,142982802,0,0,27232,1797
7.535,3.925,88.540,0,0,0,0,263798850,552444,0,0,125008,22586
11.313,6.362,82.325,0,0,0,0,451135,255562651,0,0,150587,6720
9.754,4.040,86.206,0,0,0,0,263822707,33094788,0,0,36112,16467
9.240,1.736,89.023,0,0,0,0,279459,222779901,0,0,43174,3340
1.603,0.943,97.454,0,0,0,0,263800251,316710,0,0,8721,10038
15.830,5.181,78.989,0,0,0,12288,414332,255592070,0,0,90922,8460
0.345,0.721,98.935,0,0,0,53248,209714988,274981,0,0,4822,8576
18.500,7.251,74.249,0,0,0,0,54494544,255679974,0,0,18466,11490
0.031,0,99.969,0,0,0,0,17745,269,0,0,361,81
0,0,100,0,0,0,0,16982,372,0,0,320,73
0,0,99.938,0.062,0,0,12288,16680,0,0,0,374,126
0,0.031,99.969,0,0,0,303104,19140,0,0,0,415,54
0.031,0.031,99.938,0,0,0,0,18961,245,0,0,385,69
0.094,0.031,99.875,0,0,0,0,23798,2718,0,0,534,135
0.563,0.219,99.218,0,0,0,0,22654,3346,0,0,1555,877
