"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node3_dstat_lr_claudio.csv",,,,"Date:","29 Apr 2019 18:55:16 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.069,0.032,99.897,0.002,0,6542.312,581149.723,0,0,0,0,430.509,515.653
0,0,100,0,0,0,0,7740,0,0,0,202,49
0,0.025,99.950,0.025,0,0,1409024,7200,0,0,0,389,74
0,0,100,0,0,0,0,7140,0,0,0,176,33
0.025,0,99.975,0,0,0,0,6960,0,0,0,171,108
0.576,0.225,99.199,0,0,0,0,16214,8112,0,0,1663,889
0.976,0.300,98.723,0,0,0,0,19893,7530,0,0,2167,1273
5.397,8.321,86.282,0,0,0,798720,6964,537,0,0,7427,166429
2.151,0.500,97.349,0,0,0,0,7482,3012,0,0,537,332
2.833,1.203,95.964,0,0,0,0,4538937,4525850,0,0,4822,43901
3.821,0.729,95.450,0,0,0,0,9258826,9278931,0,0,8301,31117
3.815,0.728,95.457,0,0,0,0,9221313,9274901,0,0,8313,30845
4.004,0.876,95.120,0,0,0,0,9118208,9138504,0,0,8518,30776
3.238,1.029,95.733,0,0,0,49152,8047962,8035312,0,0,7308,27001
3.936,0.752,95.312,0,0,0,0,9188581,9208786,0,0,8239,30784
3.571,0.830,95.600,0,0,0,0,9186322,9240179,0,0,8422,30823
3.572,0.805,95.623,0,0,0,0,9185676,9173235,0,0,8194,30819
3.920,0.899,95.181,0,0,0,0,7875690,7926997,0,0,7257,26558
3.550,0.755,95.695,0,0,0,12288,9116618,9137133,0,0,8501,30506
1.283,0.528,98.189,0,0,0,4096,47856,11534,0,0,2190,2452
0.050,0.125,99.825,0,0,0,0,6992,1641,0,0,468,388
0.025,0,99.975,0,0,0,0,6074,74,0,0,160,30
