"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node1_dstat_lr_original.csv",,,,"Date:","27 Apr 2019 20:03:53 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.041,0.018,99.933,0.008,0,5213.991,80074.672,0,0,0,0,278.037,465.370
0,0,100,0,0,0,0,7140,0,0,0,203,49
0.450,0.200,99.350,0,0,0,0,14390,6953,0,0,1453,822
0.425,0.150,99.425,0,0,0,0,15414,4289,0,0,1059,776
0,0,99.525,0.475,0,0,1605632,6240,42,0,0,407,147
0,0,100,0,0,0,0,6720,0,0,0,170,35
0.425,0.175,99.400,0,0,0,0,12073,4327,0,0,1177,583
4.756,7.635,87.610,0,0,0,0,7384,380,0,0,5302,740
2.051,0.550,97.399,0,0,0,0,7584,3122,0,0,517,331
3.134,1.003,95.638,0.226,0,0,319488,9538364,9556021,0,0,8365,56237
2.901,0.732,96.342,0.025,0,0,81920,11216449,11192824,0,0,9214,34150
3.120,0.705,96.175,0,0,0,0,11183371,11160169,0,0,9161,34148
3.294,0.603,96.103,0,0,0,0,11253077,11228145,0,0,9320,34410
3.266,0.779,95.956,0,0,0,0,11215152,11191525,0,0,9821,34233
3.095,0.730,96.175,0,0,0,0,11218692,11193054,0,0,9142,34135
3.024,0.655,96.270,0.050,0,0,12288,11287630,11228623,0,0,9350,34169
3.197,0.629,96.174,0,0,0,0,11217944,11226141,0,0,9326,34271
3.196,0.629,96.175,0,0,0,0,11150139,11122542,0,0,9368,33825
3.214,0.779,96.007,0,0,0,0,11183601,11158695,0,0,9719,33890
3.041,0.880,96.079,0,0,0,0,10734145,10710489,0,0,9083,32564
3.096,0.680,96.225,0,0,0,0,10802104,10779583,0,0,9208,32960
2.924,0.706,96.345,0.025,0,0,12288,11010525,10987608,0,0,9363,33580
3.003,0.606,96.392,0,0,0,0,11182629,11159143,0,0,9506,34257
3.485,0.802,95.712,0,0,0,0,11352512,11328102,0,0,9645,34497
3.097,0.730,96.173,0,0,0,0,11250228,11193496,0,0,10840,34385
2.969,0.856,96.175,0,0,0,0,10976933,10985622,0,0,9603,33463
3.093,0.754,96.153,0,0,0,0,10840452,10815548,0,0,9199,33050
3.039,0.879,96.031,0.050,0,0,12288,10874674,10816746,0,0,8856,33010
3.141,0.829,96.030,0,0,0,0,10978390,10985165,0,0,9392,33486
3.097,0.705,96.198,0,0,0,0,11322076,11297867,0,0,9412,34244
3.387,0.728,95.886,0,0,0,0,11354105,11295646,0,0,9430,34327
3.623,0.875,95.502,0,0,0,0,11252772,11227751,0,0,9408,34241
3.628,0.751,95.622,0,0,0,0,11219283,11193760,0,0,9496,34211
3.338,0.728,95.909,0.025,0,0,12288,11149164,11157112,0,0,9239,33964
3.434,0.802,95.763,0,0,0,0,11455463,11432035,0,0,9445,34846
3.023,0.806,96.171,0,0,0,0,11529848,11502066,0,0,10068,35076
3.073,0.705,96.222,0,0,0,0,11665243,11637369,0,0,9912,35448
3.286,0.828,95.887,0,0,0,0,11080311,11054486,0,0,9383,33650
2.944,0.856,96.200,0,0,0,0,11185174,11156595,0,0,9228,33984
3.164,0.854,95.932,0.050,0,0,12288,11221975,11191387,0,0,9558,34307
2.997,0.831,96.172,0,0,0,24576,11458811,11395790,0,0,9733,35159
3.145,0.780,96.074,0,0,0,0,11493672,11464862,0,0,9426,35400
3.462,0.753,95.785,0,0,0,0,11425232,11396189,0,0,9785,34992
3.388,0.728,95.885,0,0,0,0,11153207,11152167,0,0,9323,34214
3.332,0.977,95.691,0,0,0,0,11253954,11223212,0,0,9595,34493
3.090,0.804,96.055,0.050,0,0,12288,11218681,11186941,0,0,9134,34289
3.511,0.677,95.812,0,0,0,0,11529208,11500321,0,0,9688,35051
3.452,0.975,95.573,0,0,0,0,11600151,11571087,0,0,9804,35252
3.582,0.777,95.641,0,0,0,0,11632303,11573302,0,0,10069,35195
3.193,0.754,96.052,0,0,0,0,11527540,11499878,0,0,9655,34985
3.435,0.752,95.812,0,0,0,0,11221955,11224479,0,0,9435,34060
3.462,0.627,95.886,0.025,0,0,12288,11150933,11120865,0,0,9242,33918
3.016,0.930,96.054,0,0,0,0,11219223,11158630,0,0,9504,34190
3.383,0.852,95.764,0,0,0,0,11498671,11499560,0,0,9700,34788
3.217,0.779,96.004,0,0,0,0,11596978,11569499,0,0,9738,35091
3.387,0.778,95.835,0,0,0,0,11701554,11673380,0,0,9861,35365
3.578,0.876,95.547,0,0,0,0,11632790,11604317,0,0,10108,35217
3.240,0.753,95.982,0.025,0,0,12288,11149941,11092317,0,0,9473,33929
3.309,0.827,95.864,0,0,0,0,10943889,10917095,0,0,9111,33101
3.676,0.700,95.624,0,0,0,0,10876476,10848473,0,0,9069,32975
2.848,0.756,96.396,0,0,0,0,10874250,10849099,0,0,8833,33109
3.361,0.778,95.862,0,0,0,0,11287774,11262232,0,0,9314,34222
3.312,0.803,95.886,0,0,0,0,11633281,11640094,0,0,9607,35301
3.142,0.754,96.053,0.050,0,0,28672,11217884,11191743,0,0,9174,34019
3.094,0.780,96.126,0,0,0,0,11187051,11160879,0,0,10674,34187
3.613,0.502,95.886,0,0,0,0,11151891,11125570,0,0,12171,33945
3.243,0.704,96.053,0,0,0,0,11256164,11226359,0,0,12499,34276
