"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node0_dstat_lr_original.csv",,,,"Date:","29 Apr 2019 15:59:42 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.225,0.077,99.696,0.002,0,10269.074,906684.172,0,0,0,0,821.685,2814.653
0,0.025,99.975,0,0,0,0,8466,431,0,0,215,174
0,0,100,0,0,0,0,7620,0,0,0,183,30
0.550,0.250,99.200,0,0,0,0,18156,8763,0,0,1576,896
0.450,0.175,99.349,0.025,0,0,1523712,15682,2623,0,0,1579,814
0,0,100,0,0,0,0,8760,0,0,0,162,29
0,0,100,0,0,0,0,8100,0,0,0,192,30
0,0,100,0,0,0,0,8520,0,0,0,157,30
1.001,0.525,98.474,0,0,0,0,20622,9282,0,0,2466,1149
7.012,11.645,81.342,0,0,0,442368,8040,132,0,0,6564,1076065
4.053,1.201,94.746,0,0,0,0,8712,6414,0,0,866,333
7.347,3.105,89.548,0,0,0,0,21279285,21221170,0,0,17295,127991
8.567,2.325,89.108,0,0,0,0,28120336,28146667,0,0,21602,100854
8.914,2.102,88.985,0,0,0,0,27775540,27803166,0,0,21241,98903
8.582,2.329,89.089,0,0,0,0,28194284,28221004,0,0,22449,98142
8.652,2.302,89.046,0,0,0,40960,28182458,28182283,0,0,22234,100717
8.614,2.154,89.232,0,0,0,0,27948650,28010450,0,0,21755,100940
9.098,2.243,88.659,0,0,0,0,27981895,28010845,0,0,21815,99102
8.868,2.400,88.732,0,0,0,0,28017896,28076330,0,0,24687,98473
8.540,2.400,89.060,0,0,0,0,27740908,27734668,0,0,22404,98827
8.475,2.631,88.895,0,0,0,57344,28050183,28041634,0,0,24670,100469
8.762,2.102,89.136,0,0,0,196608,27844693,27905778,0,0,21902,97270
8.047,2.328,89.626,0,0,0,0,27469243,27495857,0,0,20832,91205
7.850,2.304,89.846,0,0,0,0,26468899,26529701,0,0,20740,91413
7.844,2.201,89.954,0,0,0,0,26503842,26464202,0,0,20461,90680
9.093,2.305,88.602,0,0,0,0,26849701,26874638,0,0,20670,92551
9.114,2.360,88.526,0,0,0,94208,27365420,27447948,0,0,21185,97159
8.081,2.338,89.581,0,0,0,0,27947474,27994632,0,0,21333,98254
8.847,2.073,89.080,0,0,0,0,27634087,27636263,0,0,21626,97885
9.052,2.219,88.729,0,0,0,0,27776765,27837996,0,0,21310,98393
8.540,2.274,89.186,0,0,0,0,27189086,27217203,0,0,21314,94368
8.483,2.272,89.245,0,0,0,12288,27294737,27288164,0,0,21307,94520
8.499,2.270,89.231,0,0,0,4096,26883456,26931133,0,0,20961,94376
8.597,2.099,89.305,0,0,0,0,27190911,27197715,0,0,20826,94261
8.587,2.292,89.121,0,0,0,0,27432898,27423005,0,0,20957,92081
8.693,2.487,88.819,0,0,0,0,27470846,27564456,0,0,21378,95004
8.828,2.389,88.783,0,0,0,0,27705504,27698038,0,0,21648,96578
8.818,2.293,88.889,0,0,0,12288,27635330,27632346,0,0,21243,94931
8.472,2.327,89.201,0,0,0,4096,27983284,28045006,0,0,22017,96103
