"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node2_dstat_lr_claudio.csv",,,,"Date:","29 Apr 2019 18:55:15 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.070,0.032,99.897,0.001,0,6550.483,579854.458,0,0,0,0,437.410,514.201
0,0,100,0,0,0,0,7080,0,0,0,209,130
0.025,0.025,99.950,0,0,0,0,7800,0,0,0,210,56
0,0,100,0,0,0,1441792,7620,0,0,0,372,45
0.500,0.175,99.324,0,0,0,0,12505,4328,0,0,1252,620
0.550,0.275,99.174,0,0,0,0,18357,6986,0,0,1529,1078
0.025,0,99.975,0,0,0,0,7080,0,0,0,177,35
3.048,6.672,90.280,0,0,0,0,12509,4812,0,0,4954,61700
3.277,2.402,94.321,0,0,0,749568,6360,0,0,0,3487,27202
1.899,1.299,96.802,0,0,0,53248,8040,6156,0,0,762,28536
3.014,0.954,96.032,0,0,0,0,6849584,6843175,0,0,6596,23314
3.551,0.755,95.694,0,0,0,0,9190260,9245502,0,0,8318,30680
4.098,1.000,94.903,0,0,0,0,9155500,9175917,0,0,8630,30656
4.006,0.851,95.143,0,0,0,0,9155609,9145969,0,0,8893,30705
3.626,1.025,95.349,0,0,0,45056,7981127,8033858,0,0,7507,26806
3.814,0.828,95.358,0,0,0,12288,9223264,9244919,0,0,8269,30824
3.812,0.853,95.335,0,0,0,0,9123028,9147510,0,0,8386,30492
3.630,1.002,95.368,0,0,0,0,8425550,8447191,0,0,7631,28063
3.933,0.726,95.341,0,0,0,0,8742991,8729610,0,0,8064,29194
3.133,1.429,95.439,0,0,0,0,6531612,6550575,0,0,6268,22471
0.652,0.527,98.821,0,0,0,413696,13155,7564,0,0,2360,2037
0,0.025,99.975,0,0,0,40960,6600,0,0,0,179,130
