"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node1_dstat_lr_original.csv",,,,"Date:","29 Apr 2019 15:59:42 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.124,0.046,99.828,0.002,0,10271.827,906131.771,0,0,0,0,614.408,887.348
0.025,0,99.975,0,0,0,0,8160,0,0,0,207,48
0,0,100,0,0,0,0,7620,0,0,0,182,108
0.075,0.025,99.900,0,0,0,0,11543,2615,0,0,375,106
0.952,0.326,98.723,0,0,0,1347584,17081,7256,0,0,2471,1284
0.025,0.075,99.900,0,0,0,0,13408,1419,0,0,345,276
0,0,100,0,0,0,0,8400,0,0,0,196,111
0.150,0.125,99.725,0,0,0,0,13633,3694,0,0,726,362
5.489,8.346,86.165,0,0,0,0,9072,1012,0,0,7482,84545
2.251,0.400,97.349,0,0,0,684032,7884,1754,0,0,638,284
2.484,1.204,96.312,0,0,0,0,4424673,4418982,0,0,4483,41021
3.564,0.653,95.783,0,0,0,0,9508009,9486427,0,0,8089,29015
3.296,0.654,96.050,0,0,0,0,9296649,9279548,0,0,7743,28367
3.581,0.801,95.617,0,0,0,0,9299517,9280319,0,0,7982,28334
3.200,0.680,96.120,0,0,0,0,9299648,9314501,0,0,8589,28727
3.412,0.828,95.760,0,0,0,12288,9263745,9245376,0,0,8020,28157
3.389,0.778,95.832,0,0,0,0,9299934,9279451,0,0,7891,28379
3.576,0.900,95.524,0,0,0,0,9226416,9210965,0,0,7913,27954
3.608,0.802,95.590,0,0,0,0,9266288,9245847,0,0,8138,28425
3.730,0.751,95.519,0,0,0,0,9296684,9278646,0,0,7970,28134
3.658,0.777,95.565,0,0,0,49152,9229696,9211904,0,0,8085,28224
3.751,0.850,95.399,0,0,0,0,9437179,9416868,0,0,8141,28697
3.237,0.853,95.910,0,0,0,0,8884450,8832442,0,0,7565,27074
3.768,0.898,95.333,0,0,0,0,8851636,8831378,0,0,7571,26771
4.486,0.818,94.696,0,0,0,0,8886081,8900000,0,0,7814,27192
3.669,0.949,95.382,0,0,0,49152,8922188,8869776,0,0,7663,27224
3.584,0.802,95.614,0,0,0,0,9404333,9416210,0,0,8158,28747
3.533,0.852,95.615,0,0,0,0,9229028,9209471,0,0,8008,28087
3.854,0.701,95.445,0,0,0,0,9368355,9316075,0,0,7982,28638
3.369,0.654,95.977,0,0,0,0,9402944,9417615,0,0,7962,28786
3.456,0.902,95.642,0,0,0,0,9057371,9005293,0,0,7711,27556
3.855,1.119,95.001,0.025,0,0,12288,8818567,8832636,0,0,7671,26929
3.411,0.803,95.786,0,0,0,0,8955275,8937815,0,0,7654,27254
3.834,1.070,95.096,0,0,0,0,8918444,8869228,0,0,7669,27229
3.822,0.799,95.378,0,0,0,0,9026738,9038519,0,0,8843,27864
