"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node0_dstat_lr_SYNC.csv",,,,"Date:","29 Apr 2019 16:45:03 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.236,0.080,99.682,0.002,0,8952.977,791302.503,0,0,0,0,825.735,2981.218
0.300,0.100,99.600,0,0,0,0,11665,3761,0,0,800,396
0.825,0.325,98.850,0,0,0,0,12457,6578,0,0,1852,994
0.025,0.025,99.950,0,0,0,0,12766,969,0,0,276,335
0.025,0,99.975,0,0,0,1536000,6240,0,0,0,424,34
0,0,100,0,0,0,81920,6300,0,0,0,146,73
0,0,100,0,0,0,0,6480,0,0,0,164,30
0.950,0.475,98.574,0,0,0,0,17030,8654,0,0,2102,1076
6.423,10.422,83.154,0,0,0,0,7268,760,0,0,5277,933533
4.426,0.850,94.724,0,0,0,0,7092,6174,0,0,798,344
3.110,1.956,94.934,0,0,0,413696,8244,9398,0,0,2424,61415
5.589,0.881,93.530,0,0,4096,520192,17151,3626,0,0,3466,35252
6.090,1.007,92.904,0,0,0,0,2086739,2049011,0,0,5355,39797
2.031,0.426,97.543,0,0,0,0,1446919,1423532,0,0,2840,14813
4.569,0.904,94.527,0,0,0,0,3273093,3225404,0,0,5568,32549
0.275,0.075,99.649,0,0,0,86016,252926,242620,0,0,691,2708
5.063,1.053,93.885,0,0,0,0,3520850,3469394,0,0,6034,35362
1.671,0.299,98.030,0,0,0,12288,992242,971313,0,0,1868,10035
3.832,0.701,95.467,0,0,0,0,2538900,2497298,0,0,4523,25734
3.134,0.602,96.265,0,0,0,0,2184859,2150684,0,0,3646,22050
1.955,0.376,97.669,0,0,0,0,1341744,1319637,0,0,2411,13905
4.597,1.080,94.323,0,0,0,4096,3274116,3226087,0,0,10105,32809
0.450,0.150,99.400,0,0,0,0,252571,243471,0,0,1661,2884
5.251,0.905,93.844,0,0,0,12288,3518991,3467189,0,0,7815,35518
1.424,0.250,98.327,0,0,0,0,848686,831914,0,0,2389,8520
4.102,1.057,94.841,0,0,0,0,2676240,2637207,0,0,5949,28060
0.551,0.350,99.099,0,0,0,0,15248,8584,0,0,1670,979
