"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node0_dstat_lr_claudio.csv",,,,"Date:","29 Apr 2019 18:55:13 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.220,0.077,99.702,0.002,0,6548.133,581533.703,0,0,0,0,710.556,3082.880
0,0,100,0,0,0,0,7440,0,0,0,165,42
0,0,100,0,0,0,0,7080,0,0,0,178,41
0.525,0.350,99.125,0,0,0,1568768,17222,8112,0,0,1804,889
0.425,0.250,99.325,0,0,0,110592,15068,3202,0,0,1278,823
0,0,100,0,0,0,0,7260,0,0,0,137,33
0,0,100,0,0,0,0,6420,0,0,0,164,37
0,0.025,99.975,0,0,0,0,6960,0,0,0,133,33
0.350,0.200,99.450,0,0,0,581632,18170,7508,0,0,1478,735
6.309,11.117,82.574,0,0,0,0,7628,2012,0,0,6542,1178819
4.750,0.525,94.725,0,0,0,36864,7476,4894,0,0,812,320
4.312,3.134,92.555,0,0,0,0,8502794,8482851,0,0,8468,84599
9.907,2.540,87.553,0,0,0,0,27951992,27823145,0,0,22583,107570
9.970,2.511,87.519,0,0,0,0,27740724,27646214,0,0,22486,104121
9.395,2.355,88.250,0,0,0,626688,27537711,27508000,0,0,23508,103602
8.731,2.534,88.736,0,0,0,0,24149281,24047024,0,0,20582,90889
9.952,2.488,87.535,0.025,0,0,77824,27882128,27770826,0,0,23110,105652
9.183,2.359,88.458,0,0,0,0,27779220,27687597,0,0,23107,104042
9.155,2.759,88.086,0,0,0,0,27467494,27403904,0,0,28766,95530
8.866,2.620,88.514,0,0,0,0,24001848,23886549,0,0,20650,97105
8.812,2.355,88.833,0,0,0,65536,27846910,27754296,0,0,24674,99442
2.828,1.376,95.796,0,0,0,0,3934408,3974911,0,0,5708,16522
